product_update_id;update_date;product_id;description;update_type_id;creation_date;ts
1;2004-11-05 00:00:00;1;10.3.6 update available for download;3;2004-11-05 00:00:00;2008-07-26 03:41:44
2;2003-06-23 00:00:00;2;Safari 1.0 Announced and available for download (v85.5);1;2003-06-23 00:00:00;2008-07-26 03:41:44
6;2004-10-27 00:00:00;1;Security  Update 2004-10-27;4;2004-10-27 00:00:00;2008-07-26 03:41:44
7;2004-10-04 00:00:00;1;Security  Update 2004-09-30;4;2004-10-04 00:00:00;2008-07-26 03:41:44
9;2004-09-23 00:00:00;1;Java  1.4.2 Update 2 released;4;2004-09-23 00:00:00;2008-07-26 03:41:44
10;2003-10-24 00:00:00;2;Safari 1.1 Available with Panther (OS10.3);3;2003-10-24 00:00:00;2008-07-26 03:41:44
11;2004-02-02 00:00:00;2;Safari 1.2 available for download (OS10.3 only) (v125);3;2004-02-02 00:00:00;2008-07-26 03:41:44
13;2004-09-16 00:00:00;1;Security  Update 2004-09-16;4;2004-09-16 00:00:00;2008-07-26 03:41:44
14;2004-09-14 00:00:00;1;Security  Update 2004-09-07 v1.1;4;2004-09-14 00:00:00;2008-07-26 03:41:44
15;2003-05-15 00:00:00;2;Safari 1.0 beta 2 (v74) available for download;5;2003-05-15 00:00:00;2008-07-26 03:41:44
16;2004-09-07 00:00:00;1;Security  Update 2004-09-07;4;2004-09-07 00:00:00;2008-07-26 03:41:44
19;2004-05-17 00:00:00;14;GarageBand  1.1 update available - 37.2MB;3;2004-05-17 00:00:00;2008-07-26 03:41:44
20;2004-02-12 00:00:00;14;GarageBand  1.0.1 update available - 21MB;4;2004-02-12 00:00:00;2008-07-26 03:41:44
21;2004-01-06 00:00:00;14;GarageBand 1.0 announced MWSF04 (music recording app) available Jan 16;1;2004-01-06 00:00:00;2008-07-26 03:41:44
22;2003-04-14 00:00:00;2;Safari 1.0 beta 2 (v73) available for download;5;2003-04-14 00:00:00;2008-07-26 03:41:44
23;2003-02-12 00:00:00;2;Safari 1.0 beta (v60) available for download;5;2003-02-12 00:00:00;2008-07-26 03:41:44
24;2003-01-10 00:00:00;2;Safari 1.0 beta (v51) available for download;5;2003-01-10 00:00:00;2008-07-26 03:41:44
25;2003-01-07 00:00:00;2;Safari 1.0 beta (v48) announce at MWSF & available for download;5;2003-01-07 00:00:00;2008-07-26 03:41:44
26;2003-10-24 00:00:00;17;Keynote 1.1.1 available for download;4;2003-10-24 00:00:00;2008-07-26 03:41:44
27;2003-06-04 00:00:00;17;Keynote 1.1 available for download;3;2003-06-04 00:00:00;2008-07-26 03:41:44
28;2003-02-27 00:00:00;17;Keynote 1.0.1 available for download;4;2003-02-27 00:00:00;2008-07-26 03:41:44
29;2003-01-07 00:00:00;17;Keynote 1.0 announced at MWSF;1;2003-01-07 00:00:00;2008-07-26 03:41:44
30;2004-10-28 00:00:00;19;Logic  Express 7 shipping;5;2004-10-28 00:00:00;2008-07-26 03:41:44
31;2004-09-29 00:00:00;19;Logic  Express 7 announced;2;2004-09-29 00:00:00;2008-07-26 03:41:44
32;2004-01-15 00:00:00;19;Logic  Express 1 announced (NAMM) US$299 available March (audio creation);1;2004-01-15 00:00:00;2008-07-26 03:41:44
33;2004-08-09 00:00:00;1;10.3.5  update available + Security Update 2004-08-09;3;2004-08-09 00:00:00;2008-07-26 03:41:44
34;2004-06-28 00:00:00;1;10.4  Tiger demoed at WWDC - available first half 2005;5;2004-06-28 00:00:00;2008-07-26 03:41:44
35;2004-06-07 00:00:00;1;Security  Update 2004-06-07;4;2004-06-07 00:00:00;2008-07-26 03:41:44
36;2004-05-26 00:00:00;1;10.3.4  update available;3;2004-05-26 00:00:00;2008-07-26 03:41:44
37;2004-05-21 00:00:00;1;Security  Update 2004-05-24 (mismatch of dates is unknown);4;2004-05-21 00:00:00;2008-07-26 03:41:44
38;2004-05-30 00:00:00;1;Security  Update 2004-05-03;4;2004-05-30 00:00:00;2008-07-26 03:41:44
39;2004-04-05 00:00:00;1;Security  Update 2004-04-05 (for 10.3.3 and 10.2.8);4;2004-04-05 00:00:00;2008-07-26 03:41:44
40;2004-03-15 00:00:00;1;10.3.3 update available for download;3;2004-03-15 00:00:00;2008-07-26 03:41:44
41;2004-02-23 00:00:00;1;Security Update 2004-02-23;4;2004-02-23 00:00:00;2008-07-26 03:41:44
42;2004-02-02 00:00:00;1;Java 1.4.2 update released;4;2004-02-02 00:00:00;2008-07-26 03:41:44
43;2004-01-26 00:00:00;1;Security Update 2004-01-26 + Airport Software 3.3;4;2004-01-26 00:00:00;2008-07-26 03:41:44
44;2003-12-19 00:00:00;1;Security Update 2003-12-19;4;2003-12-19 00:00:00;2008-07-26 03:41:44
45;2003-12-17 00:00:00;1;10.3.2 update released (build 7D24);3;2003-12-17 00:00:00;2008-07-26 03:41:44
46;2003-12-05 00:00:00;1;Security Update 2003-12-05;4;2003-12-05 00:00:00;2008-07-26 03:41:44
47;2003-11-19 00:00:00;1;Security Update 2003-11-19;4;2003-11-19 00:00:00;2008-07-26 03:41:44
48;2003-11-12 00:00:00;1;Java update 1.4.1 for Panther;4;2003-11-12 00:00:00;2008-07-26 03:41:44
49;2003-11-10 00:00:00;1;10.3.1 update released;3;2003-11-10 00:00:00;2008-07-26 03:41:44
50;2003-11-04 00:00:00;1;Security Update 2003-11-04;4;2003-11-04 00:00:00;2008-07-26 03:41:44
